request_id,scenario,phase_name,request_type,start_ts,end_ts,latency_ms,ttft_ms,prompt_chars,output_chars,max_tokens,status_code,ok,error
2iagl58kxo,conversation-sharegpt,default,completions,1776106268.9205616,1776106314.9207993,46000.24,46000.24,418,0,96,0,0,
dxmo5bxxc0,conversation-sharegpt,default,completions,1776106229.385053,1776106274.920192,45535.14,45535.14,799,0,96,0,0,
vz41nam148,conversation-sharegpt,default,completions,1776106306.9210925,1776106352.9205377,45999.45,45999.45,609,0,96,0,0,
v8z2flu7u6,conversation-sharegpt,default,completions,1776106314.920987,1776106360.9218042,46000.82,46000.82,1209,0,96,0,0,
air4cowgzr,conversation-sharegpt,default,completions,1776106303.9197505,1776106349.9199567,46000.21,46000.21,1170,0,96,0,0,
dtjvzhwjr6,conversation-sharegpt,default,completions,1776106260.9209259,1776106306.9198914,45998.97,45998.97,336,0,96,0,0,
zycwtiqj7y,conversation-sharegpt,default,completions,1776106214.1830313,1776106259.9203112,45737.28,45737.28,290,0,96,0,0,
e8g8jdp0lv,conversation-sharegpt,default,completions,1776106269.9199157,1776106315.9194381,45999.52,45999.52,412,0,96,0,0,
xff0t0pvn9,conversation-sharegpt,default,completions,1776106215.6870155,1776106260.920029,45233.01,45233.01,792,0,96,0,0,
89uzfk8ut0,conversation-sharegpt,default,completions,1776106257.9210253,1776106303.919524,45998.50,45998.50,411,0,96,0,0,
xpseimvihc,conversation-sharegpt,default,completions,1776106223.9841247,1776106269.9196994,45935.57,45935.57,536,0,96,0,0,
tvhhpbmyof,conversation-sharegpt,default,completions,1776106308.920095,1776106354.9217494,46001.65,46001.65,632,0,96,0,0,
a11dpg8sbi,conversation-sharegpt,default,completions,1776106304.9201498,1776106350.9204206,46000.27,46000.27,229,0,96,0,0,
3bme9fpzue,conversation-sharegpt,default,completions,1776106262.920867,1776106308.9198925,45999.03,45999.03,586,0,96,0,0,
a753lc58dr,conversation-sharegpt,default,completions,1776106222.8269958,1776106267.919939,45092.94,45092.94,982,0,96,0,0,
ujza7tz0yn,conversation-sharegpt,default,completions,1776106274.9203732,1776106320.919913,45999.54,45999.54,256,0,96,0,0,
tfgq5c34dx,conversation-sharegpt,default,completions,1776106229.9088547,1776106274.9199464,45011.09,45011.09,369,0,96,0,0,
s4f8cgvyie,conversation-sharegpt,default,completions,1776106258.9206705,1776106304.9199224,45999.25,45999.25,179,0,96,0,0,
d4v30t9nt3,conversation-sharegpt,default,completions,1776106213.869777,1776106258.9203935,45050.62,45050.62,533,0,96,0,0,
waouaxeqbn,conversation-sharegpt,default,completions,1776106309.9198554,1776106355.9199297,46000.07,46000.07,1235,0,96,0,0,
ptk93tyt7d,conversation-sharegpt,default,completions,1776106260.9202187,1776106306.9200737,45999.86,45999.86,433,0,96,0,0,
14ffyvnvqj,conversation-sharegpt,default,completions,1776106217.8508198,1776106262.9206502,45069.83,45069.83,630,0,96,0,0,
qtul1p36p6,conversation-sharegpt,default,completions,1776106305.9205377,1776106351.9209287,46000.39,46000.39,727,0,96,0,0,
ntpbn78bmy,conversation-sharegpt,default,completions,1776106263.9210901,1776106309.9196343,45998.54,45998.54,903,0,96,0,0,
